품종,원산지,유형,특징,친화도 (1-10),수명 (년),크기,손질 필요도,운동 필요량 (시간/일),어린이 친화적 여부,지능 (1-10),털 빠짐 정도,건강 문제 위험,평균 체중 (kg),훈련 난이도 (1-10),정보링크,이미지,크기 수치화
아펜핀셔,독일,토이,원숭이 같은 얼굴,7,14,['소형'],높음,1.5,예,8,보통,낮음,4,6,https://en.wikipedia.org/wiki/Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/220px-Affenpinscher.jpg,1.0
아프간 하운드,아프가니스탄,하운드,길고 비단결 같은 털,5,13,['대형'],매우 높음,2.0,아니요,4,높음,보통,25,8,https://en.wikipedia.org/wiki/Afghan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/220px-Afghan_dog_-_cropped.jpg,3.0
에어데일 테리어,영국,테리어,테리어 중 가장 큼,8,12,['중형'],높음,2.0,예,7,보통,낮음,21,6,https://en.wikipedia.org/wiki/Airedale_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Airedale_Terrier.jpg/220px-Airedale_Terrier.jpg,2.0
아키타,일본,워킹,강한 충성심,6,11,['대형'],보통,2.0,예,7,높음,높음,45,9,https://en.wikipedia.org/wiki/Akita_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/220px-American-akita.jpg,3.0
알래스칸 말라뮤트,알래스카 USA,워킹,강한 견인 능력,7,11,['대형'],높음,3.0,예,6,매우 높음,보통,36,8,https://en.wikipedia.org/wiki/Alaskan_Malamute,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/300px-Alaskan_Malamute.jpg,3.0
아메리칸 불독,미국,워킹,근육질 체격,8,11,['대형'],낮음,2.0,예,6,보통,보통,42,7,https://en.wikipedia.org/wiki/American_Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Faithfullbull_Spike_of_Mightybull.jpg/220px-Faithfullbull_Spike_of_Mightybull.jpg,3.0
아메리칸 에스키모,미국,논-스포팅,순백색 털,9,14,"['소형', '중형']",높음,2.0,예,9,높음,낮음,12,5,https://en.wikipedia.org/wiki/American_Eskimo_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Eskimo_Dog_1.jpg/220px-American_Eskimo_Dog_1.jpg,1.5
아메리칸 폭스하운드,미국,하운드,아름다운 울음소리,8,12,['중형'],낮음,2.5,예,6,보통,낮음,31,6,https://en.wikipedia.org/wiki/American_Foxhound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/AmericanFoxhound2.jpg/220px-AmericanFoxhound2.jpg,2.0
오스트레일리안 캐틀 독,호주,허딩,독특한 파란색 또는 붉은색 털,7,14,['중형'],보통,2.5,예,9,보통,낮음,15,7,https://en.wikipedia.org/wiki/Australian_Cattle_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ACD-blue-spud.jpg/220px-ACD-blue-spud.jpg,2.0
오스트레일리안 셰퍼드,미국,허딩,멀 색상,8,14,['중형'],높음,2.5,예,9,높음,보통,25,7,https://en.wikipedia.org/wiki/Australian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Australian_Shepherd_red_bi.JPG/220px-Australian_Shepherd_red_bi.JPG,2.0
오스트레일리안 테리어,호주,테리어,작지만 강인함,7,13,['소형'],보통,1.5,예,7,낮음,낮음,6.5,6,https://en.wikipedia.org/wiki/Australian_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Australian_Terrier_adult_male.jpg/220px-Australian_Terrier_adult_male.jpg,1.0
바센지,중앙 아프리카,하운드,짖지 않음,6,13,"['소형', '중형']",낮음,2.0,아니요,6,낮음,낮음,10,9,https://en.wikipedia.org/wiki/Basenji,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Basenji_Profile_%28loosercrop%29.jpg/220px-Basenji_Profile_%28loosercrop%29.jpg,1.5
바셋 하운드,프랑스,하운드,짧은 다리 긴 몸통,8,11,['중형'],낮음,1.0,예,5,보통,높음,24,7,https://en.wikipedia.org/wiki/Basset_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/BassetHound_profil.jpg/220px-BassetHound_profil.jpg,2.0
비글,영국,하운드,뛰어난 후각,9,13,"['소형', '중형']",낮음,2.0,예,7,보통,보통,10,7,https://en.wikipedia.org/wiki/Beagle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Beagle_600.jpg/220px-Beagle_600.jpg,1.5
보더드 콜리,스코틀랜드,허딩,긴 덮수룩한 털,8,13,['중형'],매우 높음,2.0,예,8,높음,낮음,22,6,https://en.wikipedia.org/wiki/Bearded_Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bearded_Collie_600.jpg/220px-Bearded_Collie_600.jpg,2.0
버니즈 마운틴 독,스위스,워킹,삼색 털,9,8,['대형'],높음,1.5,예,7,높음,높음,43,5,https://en.wikipedia.org/wiki/Bernese_Mountain_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Othello.jpg/220px-Othello.jpg,3.0
비숑 프리제,지중해,논-스포팅,솜털 같은 털,9,13,['소형'],매우 높음,1.0,예,8,낮음,낮음,4,5,https://en.wikipedia.org/wiki/Bichon_Fris%C3%A9,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bichon_Fris%C3%A9_-_studdogbichon.jpg/220px-Bichon_Fris%C3%A9_-_studdogbichon.jpg,1.0
블랙 러시안 테리어,러시아,워킹,검은 보호 털,7,11,['대형'],높음,2.0,예,8,보통,보통,50,8,https://en.wikipedia.org/wiki/Black_Russian_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Russianblack.jpg/220px-Russianblack.jpg,3.0
블러드하운드,벨기에,하운드,뛰어난 추적 능력,7,11,['대형'],보통,2.0,예,6,보통,높음,43,8,https://en.wikipedia.org/wiki/Bloodhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bloodhound_Erland22.jpg/220px-Bloodhound_Erland22.jpg,3.0
보더 콜리,영국,허딩,가장 높은 지능,8,13,['중형'],높음,3.0,예,10,보통,낮음,17,6,https://en.wikipedia.org/wiki/Border_Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg/220px-BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg,2.0
보더 테리어,영국,테리어,수달 같은 머리,8,13,['소형'],보통,1.5,예,7,보통,낮음,6,6,https://en.wikipedia.org/wiki/Border_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Border_Terrier.jpg/220px-Border_Terrier.jpg,1.0
보르조이,러시아,하운드,우아한 체격,6,11,['대형'],높음,2.0,아니요,6,보통,낮음,37,7,https://en.wikipedia.org/wiki/Borzoi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg/220px-Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg,3.0
보스턴 테리어,미국,논-스포팅,턱시도 같은 마킹,9,12,['소형'],낮음,1.5,예,8,낮음,보통,9,5,https://en.wikipedia.org/wiki/Boston_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Boston_Terrier_Virginia.jpg/220px-Boston_Terrier_Virginia.jpg,1.0
부비에 데 플랑드르,벨기에,허딩,턱수염과 콧수염,7,11,['대형'],매우 높음,2.0,예,8,높음,보통,34,7,https://en.wikipedia.org/wiki/Bouvier_des_Flandres,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bouvier.JPG/220px-Bouvier.JPG,3.0
복서,독일,워킹,주름진 이마,9,11,['대형'],낮음,2.0,예,7,보통,보통,28,6,https://en.wikipedia.org/wiki/Boxer_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Male_fawn_Boxer_undocked.jpg/220px-Male_fawn_Boxer_undocked.jpg,3.0
브리아르,프랑스,허딩,긴 보호 털,7,12,['대형'],높음,2.0,예,8,보통,낮음,35,7,https://en.wikipedia.org/wiki/Briard,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Briard_fauve.JPG/220px-Briard_fauve.JPG,3.0
브리타니,프랑스,스포팅,밝은 오렌지색,8,13,['중형'],보통,2.5,예,8,보통,낮음,17,5,https://en.wikipedia.org/wiki/Brittany_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Brittany_standing.jpg/220px-American_Brittany_standing.jpg,2.0
브뤼셀 그리폰,벨기에,토이,인간 같은 표정,7,13,['소형'],높음,1.5,예,8,보통,보통,4,7,https://en.wikipedia.org/wiki/Griffon_Bruxellois,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Monkey_Bizniz_Drama_Queen.jpg/220px-Monkey_Bizniz_Drama_Queen.jpg,1.0
불 테리어,영국,테리어,계란 모양의 머리,7,12,['중형'],낮음,2.0,예,7,낮음,보통,27,7,https://en.wikipedia.org/wiki/Bull_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Bullterrier-3453301920.jpg/220px-Bullterrier-3453301920.jpg,2.0
불마스티프,영국,워킹,강력한 보호자,6,9,['대형'],낮음,1.5,예,6,보통,높음,52,7,https://en.wikipedia.org/wiki/Bullmastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bullmastiff_edited.JPG/220px-Bullmastiff_edited.JPG,3.0
케언 테리어,스코틀랜드,테리어,날씨에 강한 털,8,14,['소형'],보통,1.5,예,7,보통,낮음,7,6,https://en.wikipedia.org/wiki/Cairn_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Cairn-Terrier-Garten1.jpg/220px-Cairn-Terrier-Garten1.jpg,1.0
카나안 독,이스라엘,허딩,사막 적응,6,13,['중형'],낮음,2.0,예,8,보통,낮음,21,8,https://en.wikipedia.org/wiki/Canaan_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/CanaanDogChakede.jpg/220px-CanaanDogChakede.jpg,2.0
카네 코르소,이탈리아,워킹,고대 로마의 보호견,6,11,['대형'],낮음,2.0,예,7,낮음,보통,45,9,https://en.wikipedia.org/wiki/Cane_Corso,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CaneCorso_%2823%29.jpg/220px-CaneCorso_%2823%29.jpg,3.0
카디건 웰시 코기,웨일스,허딩,펨브로크와 달리 긴 꼬리,8,13,['소형'],보통,2.0,예,8,높음,보통,13,6,https://en.wikipedia.org/wiki/Cardigan_Welsh_Corgi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Cardigan_Welsh_Corgi%2C_Profile.png/220px-Cardigan_Welsh_Corgi%2C_Profile.png,1.0
카발리에 킹 찰스 스패니얼,영국,토이,루비 색 털,10,11,['소형'],보통,1.0,예,6,보통,높음,6,4,https://en.wikipedia.org/wiki/Cavalier_King_Charles_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/CarterBIS.Tiki.13.6.09.jpg/220px-CarterBIS.Tiki.13.6.09.jpg,1.0
체서피크 베이 리트리버,미국,스포팅,방수 털,7,11,['대형'],보통,2.5,예,7,보통,낮음,30,7,https://en.wikipedia.org/wiki/Chesapeake_Bay_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/CH_Chesapeake.jpg/220px-CH_Chesapeake.jpg,3.0
치와와,멕시코,토이,가장 작은 강아지 품종,6,16,['소형'],낮음,1.0,아니요,7,낮음,보통,2,7,https://en.wikipedia.org/wiki/Chihuahua_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Chihuahua1_bvdb.jpg/220px-Chihuahua1_bvdb.jpg,1.0
차이니즈 크레스티드,중국,토이,털 없는 품종,7,14,['소형'],높음,1.0,예,8,낮음,낮음,3,6,https://en.wikipedia.org/wiki/Chinese_Crested_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/IndyStands.jpg/220px-IndyStands.jpg,1.0
차이니즈 샤페이,중국,논-스포팅,주름진 피부,6,10,['중형'],낮음,1.5,예,6,보통,높음,22,8,https://en.wikipedia.org/wiki/Shar_Pei,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Dragongate_Mong_Jai.jpg/220px-Dragongate_Mong_Jai.jpg,2.0
차우 차우,중국,논-스포팅,푸른 검은색 혀,5,10,['중형'],높음,1.5,아니요,5,높음,높음,26,9,https://en.wikipedia.org/wiki/Chow_Chow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/ChowChow2Szczecin.jpg/220px-ChowChow2Szczecin.jpg,2.0
클럼버 스패니얼,영국,스포팅,거대한 머리,7,11,['중형'],보통,1.5,예,6,높음,보통,31,6,https://en.wikipedia.org/wiki/Clumber_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Clumber_spaniel_rybnik_kamien_pppl.jpg/220px-Clumber_spaniel_rybnik_kamien_pppl.jpg,2.0
코커 스패니얼,영국,스포팅,긴 귀,9,13,"['소형', '중형']",높음,1.5,예,7,높음,보통,12,5,https://en.wikipedia.org/wiki/American_Cocker_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/PointbreakHoneyimHome.jpg/220px-PointbreakHoneyimHome.jpg,1.5
콜리,스코틀랜드,허딩,래시로 유명,9,13,['중형'],높음,2.0,예,8,높음,보통,24,5,https://en.wikipedia.org/wiki/Rough_Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Rough_Collie_600.jpg/220px-Rough_Collie_600.jpg,2.0
컬리 코티드 리트리버,영국,스포팅,곱슬 방수 털,7,12,['대형'],보통,2.0,예,7,낮음,낮음,32,6,https://en.wikipedia.org/wiki/Curly_Coated_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Curly_Coated_Retriever.jpg/220px-Curly_Coated_Retriever.jpg,3.0
닥스훈트,독일,하운드,Long body short legs,7,14,['소형'],낮음,1.5,예,7,보통,높음,10,7,https://en.wikipedia.org/wiki/Dachshund,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Short-haired-Dachshund.jpg/220px-Short-haired-Dachshund.jpg,1.0
달마시안,크로아티아,논-스포팅,점박이 털,8,12,['중형'],낮음,2.5,예,7,보통,높음,24,7,https://en.wikipedia.org/wiki/Dalmatian_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dalmatiner_2.jpg/220px-Dalmatiner_2.jpg,2.0
댄디 딘몬트 테리어,스코틀랜드,테리어,독특한 탑노트,7,13,['소형'],보통,1.5,예,7,낮음,낮음,8,7,https://en.wikipedia.org/wiki/Dandie_Dinmont_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dandie_Dinmont_Terrier_600.jpg/220px-Dandie_Dinmont_Terrier_600.jpg,1.0
도베르만 핀셔,독일,워킹,매끄러운 외모,8,11,['대형'],낮음,2.5,예,9,낮음,보통,35,7,https://en.wikipedia.org/wiki/Dobermann,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Dobermann_handling.jpg/220px-Dobermann_handling.jpg,3.0
잉글리시 불독,영국,논-스포팅,눌린 코,7,9,['중형'],낮음,1.0,예,6,보통,높음,20,7,https://en.wikipedia.org/wiki/Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Bulldog_adult_male.jpg/220px-Bulldog_adult_male.jpg,2.0
잉글리시 코커 스패니얼,영국,스포팅,쾌활한 성격,8,12,['중형'],높음,1.5,예,7,보통,보통,14,5,https://en.wikipedia.org/wiki/English_Cocker_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/%22Bill%22_-_Cocker_spaniel_anglais_2.JPG/220px-%22Bill%22_-_Cocker_spaniel_anglais_2.JPG,2.0
잉글리시 폭스하운드,영국,하운드,무리 사냥 능력,7,12,['중형'],낮음,2.5,예,6,보통,낮음,29,7,https://en.wikipedia.org/wiki/English_Foxhound,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/English_Foxhound_portrait.jpg/220px-English_Foxhound_portrait.jpg,2.0
잉글리시 세터,영국,스포팅,얼룩덜룩한 털,8,12,['중형'],높음,2.0,예,7,보통,보통,26,6,https://en.wikipedia.org/wiki/English_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/EnglishSetter9_fx_wb.jpg/220px-EnglishSetter9_fx_wb.jpg,2.0
잉글리시 스프링어 스패니얼,영국,스포팅,다목적 사냥꾼,9,13,['중형'],높음,2.0,예,7,보통,보통,20,6,https://en.wikipedia.org/wiki/English_Springer_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/English_Springer_Spaniel_in_Tallinn.JPG/220px-English_Springer_Spaniel_in_Tallinn.JPG,2.0
잉글리시 토이 스패니얼,영국,토이,돔형 머리,8,11,['소형'],높음,1.0,예,7,보통,보통,5,6,https://www.akc.org/dog-breeds/english-toy-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Toy-Spaniel-On-White-01.jpg,1.0
엔틀부처 마운틴 독,스위스,허딩,삼색 마킹,7,12,['중형'],낮음,2.5,예,8,보통,낮음,27,7,https://en.wikipedia.org/wiki/Entlebucher_Mountain_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Elio_v_Schaerlig_im_Juni_2007_klein.jpg/220px-Elio_v_Schaerlig_im_Juni_2007_klein.jpg,2.0
필드 스패니얼,영국,스포팅,고귀한 외모,7,12,['중형'],높음,2.0,예,7,보통,낮음,18,6,https://en.wikipedia.org/wiki/Field_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Field_spaniel_581.jpg/220px-Field_spaniel_581.jpg,2.0
피니시 랩훈트,핀란드,허딩,두꺼운 이중 털,8,12,['중형'],높음,2.0,예,7,높음,낮음,20,6,https://en.wikipedia.org/wiki/Finnish_Lapphund,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Finnish_Lapphund_Glenchess_Revontuli.jpg/220px-Finnish_Lapphund_Glenchess_Revontuli.jpg,2.0
피니시 스피츠,핀란드,논-스포팅,여우 같은 외모,7,13,['중형'],보통,2.0,예,8,보통,낮음,15,7,https://en.wikipedia.org/wiki/Finnish_Spitz,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Finnish_Spitz_600.jpg/220px-Finnish_Spitz_600.jpg,2.0
플랫 코티드 리트리버,영국,스포팅,반짝이는 검은 털,9,11,['대형'],보통,2.5,예,8,보통,보통,32,5,https://en.wikipedia.org/wiki/Flat-coated_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flat_Coated_Retriever_-_black.jpg/220px-Flat_Coated_Retriever_-_black.jpg,3.0
프렌치 불독,프랑스,논-스포팅,박쥐 귀,8,11,['소형'],낮음,1.0,예,7,낮음,높음,11,6,https://en.wikipedia.org/wiki/French_Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/2008-07-28_Dog_at_Frolick_Field.jpg/220px-2008-07-28_Dog_at_Frolick_Field.jpg,1.0
저먼 핀셔,독일,워킹,우아한 외모,7,13,['중형'],낮음,2.0,예,8,보통,낮음,13,7,https://en.wikipedia.org/wiki/German_Pinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Bvdb-duitse_pincher.jpg/220px-Bvdb-duitse_pincher.jpg,2.0
저먼 셰퍼드,독일,허딩,경찰견으로 유명,8,11,['대형'],보통,2.5,예,9,높음,보통,31,6,https://en.wikipedia.org/wiki/German_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/German_Shepherd_-_DSC_0346_%2810096362833%29.jpg/220px-German_Shepherd_-_DSC_0346_%2810096362833%29.jpg,3.0
저먼 쇼트헤어드 포인터,독일,스포팅,다재다능한 사냥꾼,8,13,['대형'],낮음,2.5,예,8,보통,낮음,26,6,https://en.wikipedia.org/wiki/German_Shorthaired_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Duitse_staande_korthaar_10-10-2.jpg/220px-Duitse_staande_korthaar_10-10-2.jpg,3.0
저먼 와이어헤어드 포인팅 그리폰,독일,스포팅,내후성 털,7,13,['대형'],보통,2.5,예,8,보통,낮음,27,7,https://en.wikipedia.org/wiki/German_Wirehaired_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/GermanWirehrPtr1_wb.jpg/220px-GermanWirehrPtr1_wb.jpg,3.0
자이언트 슈나우저,독일,워킹,수염과 눈썹,7,13,['대형'],높음,2.0,예,8,낮음,보통,38,8,https://en.wikipedia.org/wiki/Giant_Schnauzer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/GiantSchnauzer.jpg/220px-GiantSchnauzer.jpg,3.0
골든 리트리버,스코틀랜드,스포팅,황금색 털,10,11,['대형'],높음,2.0,예,8,높음,보통,29,4,https://en.wikipedia.org/wiki/Golden_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Golden_Retriever_Dukedestiny01_drvd.jpg/220px-Golden_Retriever_Dukedestiny01_drvd.jpg,3.0
고든 세터,스코틀랜드,스포팅,검은색과 황갈색 털,8,11,['대형'],높음,2.0,예,7,보통,보통,26,6,https://en.wikipedia.org/wiki/Gordon_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Orrvilas_enska_w800px.jpg/220px-Orrvilas_enska_w800px.jpg,3.0
그레이트 데인,독일,워킹,거대한 크기,8,8,['대형'],낮음,2.0,예,6,보통,높음,67,6,https://en.wikipedia.org/wiki/Great_Dane,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Dog_niemiecki_%C5%BC%C3%B3%C5%82ty_LM980.jpg/220px-Dog_niemiecki_%C5%BC%C3%B3%C5%82ty_LM980.jpg,3.0
그레이트 피레니즈,프랑스,워킹,하얀 보호자,7,11,['대형'],높음,1.5,예,6,높음,보통,46,8,https://www.akc.org/dog-breeds/great-pyrenees/,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-on-White-04.jpg,3.0
그레이터 스위스 마운틴 독,스위스,워킹,삼색 마킹,8,10,['대형'],낮음,2.0,예,7,보통,보통,61,7,https://en.wikipedia.org/wiki/Greater_Swiss_Mountain_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Greater_Swiss_Mountain_Dog_2018.jpg/220px-Greater_Swiss_Mountain_Dog_2018.jpg,3.0
그레이하운드,이집트,하운드,가장 빠른 견종,7,11,['대형'],낮음,2.0,예,7,낮음,낮음,33,6,https://en.wikipedia.org/wiki/Greyhound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/GraceTheGreyhound.jpg/220px-GraceTheGreyhound.jpg,3.0
해리어,영국,하운드,무리 사냥 능력,8,12,['중형'],낮음,2.0,예,6,보통,낮음,25,6,https://en.wikipedia.org/wiki/Harrier_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Harrier_tricolour.jpg/220px-Harrier_tricolour.jpg,2.0
하바네세,쿠바,토이,실크 같은 털,9,14,['소형'],높음,1.5,예,8,낮음,낮음,5,5,https://en.wikipedia.org/wiki/Havanese_dog,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/A_Havanese_judging.jpg/220px-A_Havanese_judging.jpg,1.0
아이비전 하운드,스페인,하운드,큰 귀,7,13,['중형'],낮음,2.0,예,7,낮음,낮음,22,7,https://en.wikipedia.org/wiki/Ibizan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Podenco_z_ibizy_645.jpg/240px-Podenco_z_ibizy_645.jpg,2.0
아이슬란딕 쉽독,아이슬란드,허딩,스피츠형 꼬리,8,12,['중형'],보통,2.0,예,7,보통,낮음,14,6,https://en.wikipedia.org/wiki/Icelandic_Sheepdog,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Icelandic_Sheepdog_Alisa_von_Lehenberg.jpg/220px-Icelandic_Sheepdog_Alisa_von_Lehenberg.jpg,2.0
아이리시 레드 앤 화이트 세터,아일랜드,스포팅,붉은색과 흰색 털,8,12,['대형'],높음,2.5,예,7,보통,보통,27,6,https://en.wikipedia.org/wiki/Irish_Red_and_White_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Irish_Red_And_White_Setter_2005.jpg/220px-Irish_Red_And_White_Setter_2005.jpg,3.0
아이리시 세터,아일랜드,스포팅,풍부한 붉은 털,8,13,['대형'],높음,2.5,예,7,높음,보통,29,6,https://en.wikipedia.org/wiki/Irish_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Can_Setter_dog_GFDL.jpg/220px-Can_Setter_dog_GFDL.jpg,3.0
아이리시 테리어,아일랜드,테리어,불 같은 붉은 털,7,13,['중형'],보통,1.5,예,7,낮음,낮음,11,7,https://en.wikipedia.org/wiki/Irish_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/IrishTerrierSydenhamHillWoods.jpg/220px-IrishTerrierSydenhamHillWoods.jpg,2.0
아이리시 워터 스패니얼,아일랜드,스포팅,곱슬 털,8,11,['대형'],높음,2.0,예,7,낮음,낮음,24,6,https://en.wikipedia.org/wiki/Irish_Water_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Irlandzki_spaniel_wodny_676.jpg/220px-Irlandzki_spaniel_wodny_676.jpg,3.0
