품종,원산지,유형,특징,친화도 (1-10),수명 (년),크기,손질 필요도,운동 필요량 (시간/일),어린이 친화적 여부,지능 (1-10),털 빠짐 정도,건강 문제 위험,평균 체중 (kg),훈련 난이도 (1-10),정보링크,이미지,크기 수치화
아이리시 울프하운드,아일랜드,하운드,가장 키가 큰 견종,7,7,['대형'],보통,2.0,예,6,보통,높음,54,6,https://en.wikipedia.org/wiki/Irish_Wolfhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/%282%29_Irish_Wolfhound_4.jpg/220px-%282%29_Irish_Wolfhound_4.jpg,3.0
이탈리안 그레이하운드,이탈리아,토이,미니어처 시각 하운드,7,13,['소형'],낮음,1.5,아니요,7,낮음,보통,4,7,https://en.wikipedia.org/wiki/Italian_Greyhound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Italian_Greyhound_standing_gray_%28cropped%29.jpg/220px-Italian_Greyhound_standing_gray_%28cropped%29.jpg,1.0
재패니즈 친,일본,토이,동양적인 표정,7,11,['소형'],보통,1.0,예,7,보통,낮음,3,6,https://en.wikipedia.org/wiki/Japanese_Chin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Chin_posing.jpg/220px-Chin_posing.jpg,1.0
재패니즈 스피츠,일본,논-스포팅,눈처럼 하얀 털,8,13,['소형'],높음,1.5,예,8,높음,낮음,6,6,https://en.wikipedia.org/wiki/Japanese_Spitz,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/JapaneseSpitzPhoto1_-_hiro.jpg/220px-JapaneseSpitzPhoto1_-_hiro.jpg,1.0
키스혼트,네덜란드,논-스포팅,안경 마킹,8,13,['중형'],높음,1.5,예,8,높음,낮음,16,6,https://en.wikipedia.org/wiki/Keeshond,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Keeshond_Majic_standing_cropped.jpg/220px-Keeshond_Majic_standing_cropped.jpg,2.0
케리 블루 테리어,아일랜드,테리어,푸른 털,7,13,['중형'],높음,1.5,예,7,낮음,낮음,16,7,https://en.wikipedia.org/wiki/Kerry_Blue_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Kerry_Blue_Terrier.jpg/220px-Kerry_Blue_Terrier.jpg,2.0
코몬도르,헝가리,워킹,코드 털,6,11,['대형'],매우 높음,2.0,예,6,낮음,낮음,40,8,https://en.wikipedia.org/wiki/Komondor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Komondor_delvin.jpg/220px-Komondor_delvin.jpg,3.0
쿠바츠,헝가리,워킹,하얀 보호자,6,11,['대형'],보통,2.0,예,7,보통,보통,42,8,https://en.wikipedia.org/wiki/Kuvasz,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kuvasz_named_Kan.jpg/220px-Kuvasz_named_Kan.jpg,3.0
래브라도 리트리버,캐나다,스포팅,방수 털,10,11,['대형'],보통,2.0,예,8,높음,보통,30,4,https://en.wikipedia.org/wiki/Labrador_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Labrador_on_Quantock_%282175262184%29.jpg/220px-Labrador_on_Quantock_%282175262184%29.jpg,3.0
레이크랜드 테리어,영국,테리어,사각형 체형,7,13,['소형'],보통,1.5,예,7,낮음,낮음,7,7,https://en.wikipedia.org/wiki/Lakeland_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Lakeland_Terrier.jpg/220px-Lakeland_Terrier.jpg,1.0
레온베르거,독일,워킹,사자 갈기 같은 갈기털,8,9,['대형'],높음,2.0,예,7,높음,높음,61,8,https://en.wikipedia.org/wiki/Leonberger,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Leonberger_male.jpg/220px-Leonberger_male.jpg,3.0
라사 압소,티베트,논-스포팅,바닥 길이의 털,6,13,['소형'],매우 높음,1.0,아니요,7,낮음,낮음,6,8,https://en.wikipedia.org/wiki/Lhasa_Apso,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Aishia.jpg/220px-Aishia.jpg,1.0
뢰첸,프랑스,논-스포팅,사자 컷,8,14,['소형'],높음,1.5,예,8,낮음,낮음,6,6,https://en.wikipedia.org/wiki/L%C3%B6wchen,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Adult_Lowchen_Gaiting.jpg/220px-Adult_Lowchen_Gaiting.jpg,1.0
말티즈,몰타,토이,순백색 털,8,13,['소형'],매우 높음,1.0,아니요,7,낮음,낮음,2.5,6,https://en.wikipedia.org/wiki/Maltese_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Maltese_600.jpg/220px-Maltese_600.jpg,1.0
맨체스터 테리어,영국,테리어,매끄럽고 운동적인,7,15,"['소형', '중형']",낮음,1.5,예,8,보통,낮음,7,7,https://en.wikipedia.org/wiki/Manchester_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Mancherster_Terrier.jpg/220px-Mancherster_Terrier.jpg,1.5
마스티프,영국,워킹,거대한 크기,6,9,['대형'],낮음,1.5,예,6,보통,높음,78,7,https://en.wikipedia.org/wiki/English_Mastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Westgort_Anticipation_17_months.JPG/220px-Westgort_Anticipation_17_months.JPG,3.0
미니어처 핀셔,독일,토이,두려움 없는 성격,6,13,['소형'],낮음,1.5,아니요,7,낮음,낮음,4,8,https://en.wikipedia.org/wiki/Miniature_Pinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Miniature_pinscher.jpg/220px-Miniature_pinscher.jpg,1.0
미니어처 슈나우저,독일,스탠다드,작지만 튼튼한,8,12,['소형'],높음,1.5,예,8,보통,낮음,8,6,https://en.wikipedia.org/wiki/Miniature_Schnauzer,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/%D0%A6%D0%B2%D0%B5%D1%80%D0%B3%D1%88%D0%BD%D0%B0%D1%83%D1%86%D0%B5%D1%80_%D0%BE%D0%BA%D1%80%D0%B0%D1%81_%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%81_%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE%D0%BC.JPG/275px-%D0%A6%D0%B2%D0%B5%D1%80%D0%B3%D1%88%D0%BD%D0%B0%D1%83%D1%86%D0%B5%D1%80_%D0%BE%D0%BA%D1%80%D0%B0%D1%81_%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%81_%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE%D0%BC.JPG,1.0
네아폴리탄 마스티프,이탈리아,워킹,주름진 느슨한 피부,6,8,['대형'],보통,1.0,예,5,보통,높음,70,8,https://en.wikipedia.org/wiki/Neapolitan_Mastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Mastino_Napoletano_R%C3%BCde_clp.JPG/220px-Mastino_Napoletano_R%C3%BCde_clp.JPG,3.0
뉴펀들랜드,캐나다,워킹,물 구조 능력,9,9,['대형'],높음,2.0,예,7,보통,보통,61,7,https://en.wikipedia.org/wiki/Newfoundland_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Newfoundland_dog_Smoky.jpg/220px-Newfoundland_dog_Smoky.jpg,3.0
노퍽 테리어,영국,테리어,박쥐 같은 귀,8,14,['소형'],낮음,1.5,예,7,낮음,낮음,5,6,https://en.wikipedia.org/wiki/Norfolk_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Norfolk_terrier_CAC.jpg/220px-Norfolk_terrier_CAC.jpg,1.0
노르웨지안 부훈트,Norway,허딩,스피츠형 외모,8,12,['중형'],보통,2.0,예,7,보통,낮음,12,6,https://en.wikipedia.org/wiki/Norwegian_Buhund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Norwegian_Buhund_600.jpg/220px-Norwegian_Buhund_600.jpg,2.0
노르웨지안 엘크하운드,Norway,하운드,회색 털,7,12,['중형'],보통,2.0,예,7,보통,보통,23,7,https://en.wikipedia.org/wiki/Norwegian_Elkhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Norwegian_Elkhound.jpg/220px-Norwegian_Elkhound.jpg,2.0
노르웨지안 룬데훈트,Norway,논-스포팅,독특한 추가 발가락,7,12,['소형'],높음,2.0,예,7,보통,높음,8,7,https://en.wikipedia.org/wiki/Norwegian_Lundehund,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Lundehund-2003.jpg/220px-Lundehund-2003.jpg,1.0
올드 잉글리시 쉽독,영국,허딩,푹신한 외모,8,10,['대형'],매우 높음,2.0,예,6,높음,보통,32,6,https://en.wikipedia.org/wiki/Old_English_Sheepdog,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Old_English_Sheepdog_%28side%29.jpg/220px-Old_English_Sheepdog_%28side%29.jpg,3.0
오터하운드,영국,하운드,거친 털,7,10,['대형'],매우 높음,2.5,예,6,높음,보통,37,7,https://en.wikipedia.org/wiki/Otterhound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Two_otterhounds.jpg/220px-Two_otterhounds.jpg,3.0
파피용,프랑스,토이,나비 모양 귀,9,13,['소형'],보통,1.0,예,8,낮음,낮음,3,5,https://en.wikipedia.org/wiki/Papillon_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/RileyPapillon.JPG/220px-RileyPapillon.JPG,1.0
페키니즈,중국,토이,Lion-like appearance,6,12,['소형'],매우 높음,1.0,예,5,보통,높음,5,7,https://en.wikipedia.org/wiki/Pekingese,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/1AKC_Pekingese_Dog_Show_2011.jpg/220px-1AKC_Pekingese_Dog_Show_2011.jpg,1.0
펨브로크 웰시 코기,웨일스,허딩,짧은 다리 긴 몸통,9,12,['소형'],보통,2.0,예,8,보통,보통,12,5,https://en.wikipedia.org/wiki/Pembroke_Welsh_Corgi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Welchcorgipembroke.JPG/220px-Welchcorgipembroke.JPG,1.0
쁘띠 바셋 그리폰 방데,프랑스,하운드,땅딸한,7,12,['소형'],높음,2.0,예,6,높음,보통,15,7,https://en.wikipedia.org/wiki/Petit_Basset_Griffon_Vend%C3%A9en,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/P_Basset_Griffon_Vendeen_600.jpg/220px-P_Basset_Griffon_Vendeen_600.jpg,1.0
파라오 하운드,몰타,하운드,위엄 있는 외모,7,12,['중형'],보통,2.0,예,8,보통,낮음,20,7,https://en.wikipedia.org/wiki/Pharaoh_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Pies_faraona_e34.jpg/220px-Pies_faraona_e34.jpg,2.0
포인터,영국,스포팅,독특한 자세,8,12,['중형'],보통,2.5,예,7,보통,보통,25,6,https://en.wikipedia.org/wiki/Pointer_(dog_breed),https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/English_Pointer_orange-white.jpg/220px-English_Pointer_orange-white.jpg,2.0
포메라니안,독일,토이,푹신한 이중 털,8,12,['소형'],높음,1.0,예,7,높음,보통,3,7,https://en.wikipedia.org/wiki/Pomeranian_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Pomeranian.JPG/220px-Pomeranian.JPG,1.0
푸들 (미니어처),프랑스,논-스포팅,곱슬 알레르기 방지 털,8,15,['소형'],매우 높음,1.5,예,8,낮음,낮음,7,6,https://www.akc.org/dog-breeds/poodle-miniature/,https://www.akc.org/wp-content/uploads/2017/11/Poodle-On-White-01.jpg,1.0
푸들 (스탠다드),프랑스,논-스포팅,곱슬 털,9,12,['대형'],매우 높음,2.0,예,8,보통,보통,22,5,https://www.akc.org/dog-breeds/poodle-standard/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24134701/Standard-Poodle-standing-outdoors-at-the-beach.jpg,3.0
푸들 (토이),프랑스,토이,작은 푸들,9,15,['소형'],매우 높음,1.0,예,8,낮음,낮음,4,5,https://www.akc.org/dog-breeds/poodle-toy/,https://www.akc.org/wp-content/uploads/2018/04/Toy-Poodle-on-White-02.jpg,1.0
포르투갈 포덴고,포르투갈,하운드,쫑긋한 귀,7,12,['중형'],보통,2.0,예,8,보통,낮음,15,8,https://en.wikipedia.org/wiki/Portuguese_Podengo,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Evitarocks.jpg/220px-Evitarocks.jpg,2.0
포르투갈 워터 독,포르투갈,스포팅,곱슬 방수 털,8,11,['중형'],높음,2.0,예,8,보통,보통,18,6,https://en.wikipedia.org/wiki/Portuguese_Water_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/C%C3%A3o_de_agua_Portugu%C3%AAs_2.jpg/220px-C%C3%A3o_de_agua_Portugu%C3%AAs_2.jpg,2.0
푸델포인터,독일,스포팅,다재다능한 사냥,7,12,['중형'],보통,2.5,예,8,보통,낮음,23,7,https://en.wikipedia.org/wiki/Pudelpointer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Pudelpointer_on_point.jpg/220px-Pudelpointer_on_point.jpg,2.0
퍼그,중국,토이,주름진 얼굴,8,12,['소형'],보통,1.0,예,7,보통,높음,7,6,https://en.wikipedia.org/wiki/Pug,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Mops_oct09_cropped2.jpg/220px-Mops_oct09_cropped2.jpg,1.0
피레니언 마운틴 독,프랑스,워킹,경비견,7,10,['대형'],높음,2.0,예,6,높음,높음,54,7,https://en.wikipedia.org/wiki/Pyrenean_Mountain_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Great_Pyrenees_Mountain_Dog_2.png/220px-Great_Pyrenees_Mountain_Dog_2.png,3.0
랫 테리어,미국,테리어,운동적인 민첩한,7,15,"['소형', '중형']",낮음,2.0,예,7,보통,보통,5,7,https://en.wikipedia.org/wiki/Rat_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/AmRatTerr2_wb.jpg/220px-AmRatTerr2_wb.jpg,1.5
레드본 쿤하운드,미국,하운드,붉은 털,8,12,['중형'],보통,2.0,예,6,보통,낮음,25,7,https://en.wikipedia.org/wiki/Redbone_Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Redbone-coonhound-detail.jpg/220px-Redbone-coonhound-detail.jpg,2.0
로디지안 릿지백,아프리카,하운드,등에 있는 털 능선,6,11,['대형'],보통,2.5,예,8,보통,보통,36,7,https://en.wikipedia.org/wiki/Rhodesian_Ridgeback,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rhodesian_ridgeback.jpg/220px-Rhodesian_ridgeback.jpg,3.0
로트와일러,독일,워킹,강력한 경비,7,9,['대형'],보통,2.0,예,8,높음,높음,40,8,https://en.wikipedia.org/wiki/Rottweiler,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Rottweiler_standing_facing_left.jpg/220px-Rottweiler_standing_facing_left.jpg,3.0
세인트 버나드,스위스,워킹,큰 크기,9,8,['대형'],높음,2.0,예,6,높음,보통,68,7,https://en.wikipedia.org/wiki/St._Bernard_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Hummel_Vedor_vd_Robandahoeve.jpg/220px-Hummel_Vedor_vd_Robandahoeve.jpg,3.0
살루키,중동,하운드,날씬하고 우아한,6,12,['중형'],보통,2.5,아니요,7,보통,보통,22,7,https://en.wikipedia.org/wiki/Saluki,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Red_Smooth_Saluki.jpg/220px-Red_Smooth_Saluki.jpg,2.0
사모예드,시베리아,워킹,복슬복슬한 흰색 털,9,12,['중형'],높음,2.0,예,7,높음,보통,21,7,https://en.wikipedia.org/wiki/Samoyed_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Samojed00.jpg/220px-Samojed00.jpg,2.0
스키퍼키,벨기에,논-스포팅,꼬리 없는 외모,7,13,['소형'],보통,2.0,아니요,7,보통,보통,7,7,https://en.wikipedia.org/wiki/Schipperke,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Schipperke0001.jpg/220px-Schipperke0001.jpg,1.0
스코티시 디어하운드,스코틀랜드,하운드,그레이하운드와 유사한,6,8,['대형'],보통,2.0,예,6,보통,보통,41,7,https://en.wikipedia.org/wiki/Scottish_Deerhound,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Deerhound_Fernhill%27s_Kendra.jpg/220px-Deerhound_Fernhill%27s_Kendra.jpg,3.0
스코티시 테리어,스코틀랜드,테리어,튼튼하고 낮게 설정,7,12,['소형'],보통,1.5,예,6,보통,높음,9,7,https://en.wikipedia.org/wiki/Scottish_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Scottish_Terrier_Photo_of_Face.jpg/220px-Scottish_Terrier_Photo_of_Face.jpg,1.0
셰틀랜드 쉽독,스코틀랜드,허딩,미니어처 콜리,9,12,['중형'],높음,2.0,예,8,높음,보통,11,5,https://en.wikipedia.org/wiki/Shetland_Sheepdog,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Shetland_Sheepdog_600.jpg/220px-Shetland_Sheepdog_600.jpg,2.0
시바견,일본,논-스포팅,여우 같은 표정,7,13,['소형'],보통,2.0,아니요,7,보통,보통,9,7,https://en.wikipedia.org/wiki/Shiba_Inu,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Shiba_Inu_%28Chinese_characters%29.svg/70px-Shiba_Inu_%28Chinese_characters%29.svg.png,1.0
시추,중국,토이,길게 늘어지는 털,8,14,['소형'],매우 높음,1.0,예,6,보통,보통,4,7,https://en.wikipedia.org/wiki/Shih_Tzu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Shihtzu_%28cropped%29.jpg/220px-Shihtzu_%28cropped%29.jpg,1.0
시베리안 허스키,시베리아,워킹,날카로운 눈매,8,12,['중형'],보통,2.5,예,7,보통,보통,21,7,https://en.wikipedia.org/wiki/Siberian_Husky,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Husky_L.jpg/220px-Husky_L.jpg,2.0
실키 테리어,호주,테리어,실크 같은 푸른 털,7,13,['소형'],높음,1.5,예,7,보통,낮음,4,7,https://en.wikipedia.org/wiki/Australian_Silky_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Australian_Silky_Terrier_Alana_Of_Silky%27s_Dream.jpg/220px-Australian_Silky_Terrier_Alana_Of_Silky%27s_Dream.jpg,1.0
스카이 테리어,스코틀랜드,테리어,길고 낮은 몸,7,13,['소형'],보통,1.5,아니요,6,보통,보통,8,7,https://en.wikipedia.org/wiki/Skye_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Skye_terrier_800.jpg/220px-Skye_terrier_800.jpg,1.0
슬루기,북아프리카,하운드,강력한 사냥꾼,6,12,['중형'],낮음,2.5,예,7,낮음,보통,18,7,https://en.wikipedia.org/wiki/Sloughi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Sloughi_sandcolor.jpg/220px-Sloughi_sandcolor.jpg,2.0
스무스 폭스 테리어,영국,테리어,활동적인,7,13,['소형'],낮음,2.0,예,7,보통,보통,7,7,https://en.wikipedia.org/wiki/Smooth_Fox_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Patrick_the_Smooth_Fox_Terrier.jpg/220px-Patrick_the_Smooth_Fox_Terrier.jpg,1.0
소프트 코티드 휘튼 테리어,아일랜드,테리어,부드럽고 물결치는 털,8,12,['중형'],높음,2.0,예,7,보통,보통,12,6,https://en.wikipedia.org/wiki/Soft-Coated_Wheaten_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Australian_Grand_Champion_Dancestar_Zero_O_Seven_%22Bondy%22.jpg/220px-Australian_Grand_Champion_Dancestar_Zero_O_Seven_%22Bondy%22.jpg,2.0
스패니시 워터 독,스페인,스포팅,Curly waterproof coat,7,12,['중형'],매우 높음,2.0,예,8,보통,보통,15,6,https://en.wikipedia.org/wiki/Spanish_Water_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Perro_agua.jpg/220px-Perro_agua.jpg,2.0
스피노네 이탈리아노,이탈리아,스포팅,덥수룩한 털,7,12,['대형'],높음,2.0,예,7,보통,보통,32,7,https://en.wikipedia.org/wiki/Spinone_Italiano,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/05042363_Spinone_braun.jpg/220px-05042363_Spinone_braun.jpg,3.0
스태퍼드셔 불 테리어,영국,테리어,근육 힘,7,12,['중형'],낮음,2.0,예,7,보통,높음,16,7,https://en.wikipedia.org/wiki/Staffordshire_Bull_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Staffordshire-bull-terrier-white-2748733.jpg/220px-Staffordshire-bull-terrier-white-2748733.jpg,2.0
스탠다드 슈나우저,독일,스탠다드,독특한 수염,7,15,['중형'],높음,2.0,예,7,보통,보통,14,6,https://en.wikipedia.org/wiki/Standard_Schnauzer,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Emppumenossa.jpg/220px-Emppumenossa.jpg,2.0
서섹스 스패니얼,영국,스포팅,낮게 설정된 몸,7,11,['중형'],높음,1.5,예,6,보통,보통,18,6,https://en.wikipedia.org/wiki/Sussex_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Sussex_spaniel_t43.jpg/220px-Sussex_spaniel_t43.jpg,2.0
스웨디시 발훈트,스웨덴,허딩,코기와 유사,8,12,['중형'],보통,2.0,예,8,보통,낮음,12,7,https://en.wikipedia.org/wiki/Swedish_Vallhund,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/V%C3%A4stg%C3%B6taspets_hane_5_%C3%A5r.jpg/220px-V%C3%A4stg%C3%B6taspets_hane_5_%C3%A5r.jpg,2.0
타이 릿지백,태국,하운드,등에 있는 털 능선,6,12,['중형'],보통,2.0,예,7,보통,보통,15,7,https://en.wikipedia.org/wiki/Thai_Ridgeback,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Thai-Ridgeback.jpg/220px-Thai-Ridgeback.jpg,2.0
티베탄 마스티프,티베트,워킹,인상적인 외모,7,10,['대형'],높음,2.0,예,6,보통,보통,45,8,https://en.wikipedia.org/wiki/Tibetan_Mastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Adventure%2C_sport_and_travel_on_the_Tibetan_steppes_%281911%29_%2814597105527%29.jpg/220px-Adventure%2C_sport_and_travel_on_the_Tibetan_steppes_%281911%29_%2814597105527%29.jpg,3.0
토이 폭스 테리어,미국,토이,미니어처 폭스 테리어,8,15,['소형'],보통,1.5,예,8,낮음,낮음,2,7,https://en.wikipedia.org/wiki/Toy_Fox_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Toy_Fox_Terrier_2.jpg/220px-Toy_Fox_Terrier_2.jpg,1.0
트리잉 워커 쿤하운드,미국,하운드,추적 능력,8,12,['중형'],보통,2.0,예,7,보통,보통,20,7,https://en.wikipedia.org/wiki/Treeing_Walker_Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Treeing-walker-coonhound-standing.jpg/220px-Treeing-walker-coonhound-standing.jpg,2.0
웰시 스프링어 스패니얼,웨일스,스포팅,컴팩트한 체구,8,13,['중형'],높음,2.0,예,7,보통,보통,16,6,https://en.wikipedia.org/wiki/Welsh_Springer_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Welsh_Springer_Spaniel_1.jpg/220px-Welsh_Springer_Spaniel_1.jpg,2.0
웰시 테리어,웨일스,테리어,독특한 눈썹,7,14,['중형'],보통,1.5,예,7,보통,보통,9,7,https://en.wikipedia.org/wiki/Welsh_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Terier_walijski_suka_2009_pl.jpg/220px-Terier_walijski_suka_2009_pl.jpg,2.0
웨스트 하이랜드 화이트 테리어,스코틀랜드,테리어,흰색 털,8,13,['소형'],보통,1.5,예,7,보통,보통,7,7,https://en.wikipedia.org/wiki/West_Highland_White_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/West_Highland_White_Terrier_Krakow.jpg/220px-West_Highland_White_Terrier_Krakow.jpg,1.0
휘핏,영국,하운드,미니어처 그레이하운드,7,13,['중형'],낮음,2.0,예,8,낮음,낮음,8,6,https://en.wikipedia.org/wiki/Whippet,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/WhippetWhiteSaddled_wb.jpg/220px-WhippetWhiteSaddled_wb.jpg,2.0
와이어 폭스 테리어,영국,테리어,활동적인,7,14,['소형'],보통,2.0,예,7,보통,보통,8,7,https://en.wikipedia.org/wiki/Wire_Fox_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Elias1%C4%8Derven2006.jpg/220px-Elias1%C4%8Derven2006.jpg,1.0
와이어헤어드 포인팅 그리폰,네덜란드,스포팅,덥수룩한 수염,7,13,['중형'],높음,2.0,예,7,보통,보통,20,6,https://en.wikipedia.org/wiki/Wirehaired_Pointing_Griffon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/GCH_Int_Ch_UCH_Zerubbabel_von_Herrenhausen_CGC_MHA.jpg/220px-GCH_Int_Ch_UCH_Zerubbabel_von_Herrenhausen_CGC_MHA.jpg,2.0
솔로이츠퀸틀,멕시코,논-스포팅,털 없는 품종,7,15,"['소형', '대형']",낮음,2.0,예,8,낮음,보통,25-Jul,6,https://www.akc.org/dog-breeds/xoloitzcuintli/,https://www.akc.org/wp-content/uploads/2017/11/Xoloitzcuintli-on-White-06.jpg,2.0
요크셔 테리어,영국,토이,길고 비단결 같은 털,8,13,['소형'],높음,1.0,예,7,보통,보통,2.5,6,https://en.wikipedia.org/wiki/Yorkshire_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/%282_version%29_Grupp_3%2C_YORKSHIRETERRIER%2C_NO_UCH_SE_UCH_Oxzar_Amazing_Bel%E2%80%99s_Toffy_%2824310212305%29.jpg/220px-%282_version%29_Grupp_3%2C_YORKSHIRETERRIER%2C_NO_UCH_SE_UCH_Oxzar_Amazing_Bel%E2%80%99s_Toffy_%2824310212305%29.jpg,1.0
